"МО (КОД)","МО (НАИМЕН.)","СМО (код)","СМО (наим.)","Кол-во счетов","Сумма"
"07003","ГБУЗ ""Специализированная клиническая детская инфекционная больница"" МЗ КК г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","326","5 483 380,10"
"07004","ГБУЗ ""Детская городская поликлиника № 1 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","23 212","2 240 385,52"
"07004","ГБУЗ ""Детская городская поликлиника № 1 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","5 502","605 259,72"
"07004","ГБУЗ ""Детская городская поликлиника № 1 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","908","77 610,62"
"07004","ГБУЗ ""Детская городская поликлиника № 1 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 456","162 145,12"
"07005","ГБУЗ ""Детская поликлиника № 2 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","25 296","3 107 507,36"
"07005","ГБУЗ ""Детская поликлиника № 2 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","4 470","530 628,70"
"07005","ГБУЗ ""Детская поликлиника № 2 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 328","122 647,88"
"07005","ГБУЗ ""Детская поликлиника № 2 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","798","76 131,14"
"07007","ГБУЗ ""Городская поликлиника № 26 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","18 720","12 108 842,50"
"07007","ГБУЗ ""Городская поликлиника № 26 г. Краснодара"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","4 228","2 536 892,48"
"07007","ГБУЗ ""Городская поликлиника № 26 г. Краснодара"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","1 338","791 119,24"
"07007","ГБУЗ ""Городская поликлиника № 26 г. Краснодара"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 688","1 046 449,26"
"07009","ГАУЗ ""Стоматологическая поликлиника №2"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","4 618","3 263 608,12"
"07009","ГАУЗ ""Стоматологическая поликлиника №2"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 142","886 358,84"
"07009","ГАУЗ ""Стоматологическая поликлиника №2"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","148","119 908,00"
"07009","ГАУЗ ""Стоматологическая поликлиника №2"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","776","479 492,24"
"07011","ГБУЗ ""Детская городская поликлиника № 3 г. Краснодара"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","10 862","502 088,80"
